"Symbol","Description","Universe","Sector","Industry","Sub-Industry","Morningstar Rating"
"A","Agilent Technologies Inc","Domestic","Health Care","Life Sciences Tools & Services","Life Sciences Tools & Services","3 stars"
"AA","Alcoa Corp","Domestic","Materials","Metals & Mining","Aluminum","5 stars"
"AAP","Advance Auto Parts Inc","Domestic","Consumer Discretionary","Specialty Retail","Automotive Retail","4 stars"
"AAPL","Apple Inc","Domestic","Information Technology","Technology Hardware, Storage & Peripherals","Technology Hardware, Storage & Peripherals","3 stars"
"AB","AllianceBernstein Holding LP","Domestic","Financials","Capital Markets","Asset Management & Custody Banks","4 stars"
"ABB","Abb Ltd","International (ADR)","Industrials","Electrical Equipment","Electrical Components & Equipment","4 stars"
"ABBV","Abbvie Inc","Domestic","Health Care","Biotechnology","Biotechnology","4 stars"
"ABC","AmerisourceBergen Corp","Domestic","Health Care","Health Care Providers & Services","Health Care Distributors","3 stars"
"ABEV","Ambev SA","International (ADR)","Consumer Staples","Beverages","Brewers","5 stars"
"ABG","Asbury Automotive Group Inc","Domestic","Consumer Discretionary","Specialty Retail","Automotive Retail","3 stars"
"ABT","Abbott Laboratories","Domestic","Health Care","Health Care Equipment & Supplies","Health Care Equipment","3 stars"
"ACB","Aurora Cannabis Inc","International (ADR)","Health Care","Pharmaceuticals","Pharmaceuticals","5 stars"
"ACM","AECOM","Domestic","Industrials","Construction & Engineering","Construction & Engineering","4 stars"
"ACN","Accenture PLC","Domestic","Information Technology","IT Services","IT Consulting & Other Services","3 stars"
"ADBE","Adobe Inc","Domestic","Information Technology","Software","Application Software","3 stars"
"ADDYY","Adidas AG","International (ADR)","Consumer Discretionary","Textiles, Apparel & Luxury Goods","Apparel, Accessories & Luxury Goods","2 stars"
"ADI","Analog Devices Inc","Domestic","Information Technology","Semiconductors & Semiconductor Equipment","Semiconductors","3 stars"
"ADM","Archer Daniels Midland Co","Domestic","Consumer Staples","Food Products","Agricultural Products","4 stars"
"ADNT","Adient PLC","Domestic","Consumer Discretionary","Auto Components","Auto Parts & Equipment","5 stars"
"ADP","Automatic Data Processing Inc","Domestic","Information Technology","IT Services","Data Processing & Outsourced Services","2 stars"
"ADRNY","Koninklijke Ahold Delhaize NV","International (ADR)","Consumer Staples","Food & Staples Retailing","Food Retail","3 stars"
"ADS","Alliance Data Systems Corp","Domestic","Information Technology","IT Services","Data Processing & Outsourced Services","4 stars"
"ADSK","Autodesk Inc","Domestic","Information Technology","Software","Application Software","4 stars"
"AEE","Ameren Corp","Domestic","Utilities","Multi-Utilities","Multi-Utilities","2 stars"
"AEG","Aegon NV","International (ADR)","Financials","Insurance","Life & Health Insurance","5 stars"
"AEM","Agnico Eagle Mines Ltd","International (ADR)","Materials","Metals & Mining","Gold","3 stars"
"AEP","American Electric Power Company Inc","Domestic","Utilities","Electric Utilities","Electric Utilities","2 stars"
"AES","AES Corp","Domestic","Utilities","Independent Power & Renewable Electricity Producers","Independent Power Producers & Energy Traders","5 stars"
"AGCO","AGCO Corp","Domestic","Industrials","Machinery","Agricultural & Farm Machinery","3 stars"
"AGESY","Ageas SA","International (ADR)","Financials","Insurance","Multi-line Insurance","3 stars"
"AGR","Avangrid Inc","Domestic","Utilities","Electric Utilities","Electric Utilities","2 stars"
"AIG","American International Group Inc","Domestic","Financials","Insurance","Multi-line Insurance","5 stars"
"AIV","Apartment Investment and Management Co","Domestic","Real Estate","Equity Real Estate Investment Trusts (REITs)","Residential REITs","2 stars"
"AKAM","Akamai Technologies Inc","Domestic","Information Technology","IT Services","Internet Services & Infrastructure","1 star"
"ALB","Albemarle Corp","Domestic","Materials","Chemicals","Specialty Chemicals","4 stars"
"ALGN","Align Technology Inc","Domestic","Health Care","Health Care Equipment & Supplies","Health Care Supplies","3 stars"
"ALL","Allstate Corp","Domestic","Financials","Insurance","Property & Casualty Insurance","3 stars"
"ALLE","Allegion PLC","Domestic","Industrials","Building Products","Building Products","2 stars"
"ALNY","Alnylam Pharmaceuticals Inc","Domestic","Health Care","Biotechnology","Biotechnology","3 stars"
"ALSN","Allison Transmission Holdings Inc","Domestic","Industrials","Machinery","Construction Machinery & Heavy Trucks","4 stars"
"ALV","Autoliv Inc","International (ADR)","Consumer Discretionary","Auto Components","Auto Parts & Equipment","4 stars"
"ALXN","Alexion Pharmaceuticals Inc","Domestic","Health Care","Biotechnology","Biotechnology","5 stars"
"AMAT","Applied Materials Inc","Domestic","Information Technology","Semiconductors & Semiconductor Equipment","Semiconductor Equipment","4 stars"
"AMCX","AMC Networks Inc","Domestic","Communication Services","Media","Broadcasting","5 stars"
"AMD","Advanced Micro Devices Inc","Domestic","Information Technology","Semiconductors & Semiconductor Equipment","Semiconductors","1 star"
"AME","Ametek Inc","Domestic","Industrials","Electrical Equipment","Electrical Components & Equipment","4 stars"
"AMG","Affiliated Managers Group Inc","Domestic","Financials","Capital Markets","Asset Management & Custody Banks","4 stars"
"AMGN","Amgen Inc","Domestic","Health Care","Biotechnology","Biotechnology","3 stars"
"AMN","AMN Healthcare Services Inc","Domestic","Health Care","Health Care Providers & Services","Health Care Services","1 star"
"AMOV","America Movil SAB de CV","International (ADR)","Communication Services","Wireless Telecommunication Services","Wireless Telecommunication Services","4 stars"
"AMP","Ameriprise Financial Inc","Domestic","Financials","Capital Markets","Asset Management & Custody Banks","4 stars"
"AMT","American Tower Corp","Domestic","Real Estate","Equity Real Estate Investment Trusts (REITs)","Specialized REITs","1 star"
"AMTD","TD Ameritrade Holding Corp","Domestic","Financials","Capital Markets","Investment Banking & Brokerage","4 stars"
"AMX","America Movil SAB de CV","International (ADR)","Communication Services","Wireless Telecommunication Services","Wireless Telecommunication Services","4 stars"
"AMZN","Amazon.com Inc","Domestic","Consumer Discretionary","Internet & Direct Marketing Retail","Internet & Direct Marketing Retail","4 stars"
"AN","AutoNation Inc","Domestic","Consumer Discretionary","Specialty Retail","Automotive Retail","4 stars"
"ANET","Arista Networks Inc","Domestic","Information Technology","Communications Equipment","Communications Equipment","4 stars"
"ANSS","ANSYS Inc","Domestic","Information Technology","Software","Application Software","1 star"
"ANTM","Anthem Inc","Domestic","Health Care","Health Care Providers & Services","Managed Health Care","4 stars"
"AON","Aon PLC","International (ADR)","Financials","Insurance","Insurance Brokers","3 stars"
"APA","Apache Corp","Domestic","Energy","Oil, Gas & Consumable Fuels","Oil & Gas Exploration & Production","3 stars"
"APD","Air Products and Chemicals Inc","Domestic","Materials","Chemicals","Industrial Gases","3 stars"
"APH","Amphenol Corp","Domestic","Information Technology","Electronic Equipment, Instruments & Components","Electronic Components","3 stars"
"APTV","Aptiv PLC","Domestic","Consumer Discretionary","Auto Components","Auto Parts & Equipment","3 stars"
"AR","Antero Resources Corp","Domestic","Energy","Oil, Gas & Consumable Fuels","Oil & Gas Exploration & Production","4 stars"
"ARNC","Arconic Inc","Domestic","Industrials","Aerospace & Defense","Aerospace & Defense","3 stars"
"ARW","Arrow Electronics Inc","Domestic","Information Technology","Electronic Equipment, Instruments & Components","Technology Distributors","4 stars"
"ASMIY","ASM International NV","International (ADR)","Information Technology","Semiconductors & Semiconductor Equipment","Semiconductor Equipment","3 stars"
"ASML","ASML Holding NV","International (ADR)","Information Technology","Semiconductors & Semiconductor Equipment","Semiconductor Equipment","2 stars"
"ASR","Grupo Aeroportuario del Sureste SAB de CV","International (ADR)","Industrials","Transportation Infrastructure","Airport Services","3 stars"
